	Symbol	Panel Id	Panel Name	Panel Version	Panel Status	List	Sources	Mode of inheritance	Mode of pathogenicity	Tags	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Biotype	Phenotypes	GeneLocation((GRch37)	GeneLocation((GRch38)	Panel Types	Super Panel Id	Super Panel Name	Super Panel Version
36777	SALL4	294	Ocular coloboma	1.38	PUBLIC	green	Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000101115	ENSG00000101115	HGNC:15924	protein_coding	  Duane-radial ray syndrome,  607323  	20:50400581-50419059	20:51782331-51802520	Rare Disease 100K	-	-	-
2510	CHRM3	234	CAKUT	1.153	PUBLIC	red	Expert Review;Expert Review Red	BIALLELIC, autosomal or pseudoautosomal			ENSG00000133019	ENSG00000133019	HGNC:1952	protein_coding	Prune Belly-Like Syndrome;Low pressure congenital megabladder	1:239549865-240078750	1:239386565-239915452	Rare Disease 100K	-	-	-
38341	EVC	309	Skeletal dysplasia	2.2	PUBLIC	green	NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN;Illumina TruGenome Clinical Sequencing Services;Emory Genetics Laboratory	BIALLELIC, autosomal or pseudoautosomal			ENSG00000072840	ENSG00000072840	HGNC:3497	protein_coding	Ellis-van Creveld syndrome, 225500;ECV1;Ellis-van Creveld Syndrome;Ellis-van Creveld syndrome, 225500Weyers acrodental dysostosis, 193530	4:5712924-5830772	4:5711197-5814305	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
39849	PITX2	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000164093	ENSG00000164093	HGNC:9005	protein_coding	AXENFELD-RIEGER SYNDROME TYPE 1 180500;PETERS ANOMALY 604229;RING DERMOID OF CORNEA 180550;IRIDOGONIODYSGENESIS TYPE 2 137600	4:111538579-111563279	4:110617423-110642123	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
52878	GALNT3	565	Rare genetic inflammatory skin disorders	1.6	PUBLIC	amber	Expert Review Amber	BIALLELIC, autosomal or pseudoautosomal			ENSG00000115339	ENSG00000115339	HGNC:4125	protein_coding		2:166604101-166651192	2:165747591-165794682	GMS Rare Disease Virtual;GMS Rare Disease;Component Of Super Panel;GMS signed-off	492	Skin disorders	13.42
18057	ERF	179	Hydrocephalus	2.5	PUBLIC	green	Expert Review Green;Literature;NHS GMS	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000105722	ENSG00000105722	HGNC:3444	protein_coding	Craniosynostosis 4  600775 	19:42751724-42759309	19:42247572-42255157	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
10615	SI	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000090402	ENSG00000090402	HGNC:10856	protein_coding	CONGENITAL SUCRASE-ISOMALTASE DEFICIENCY 222900;Disaccharide intolerance 1 (Other carbohydrate disorders)	3:164696686-164796283	3:164978898-165078495	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	489	Epilepsy - early onset or syndromic	4.182
8997	FLNC	47	Dilated Cardiomyopathy and conduction defects	1.65	PUBLIC	amber	Expert Review Amber;Oxford Medical Genetics Laboratory;South West GLH;Wessex and West Midlands GLH	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000128591	ENSG00000128591	HGNC:3756	protein_coding		7:128470431-128499328	7:128830377-128859274	Rare Disease 100K	-	-	-
35646	SLC9A3R1	149	Nephrocalcinosis or nephrolithiasis	2.13	PUBLIC	amber	Expert;Expert Review Amber;Radboud University Medical Center, Nijmegen	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000109062	ENSG00000109062	HGNC:11075	protein_coding	Nephrolithiasis/osteoporosis, hypophosphatemic, 2, 612287	17:72744791-72765492	17:74748652-74769353	Rare Disease 100K;GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
47710	CFHR2	83	Membranoproliferative glomerulonephritis	2.11	PUBLIC	green	Expert Review Green;Expert list	BOTH monoallelic and biallelic, autosomal or pseudoautosomal		currently-ngs-unreportable	ENSG00000080910	ENSG00000080910	HGNC:4890	protein_coding	C3 glomerulopathy;C3G; Immune complex MPGN;IC-MPGN;Immune-complex-mediated MPGN	1:196788898-196928356	1:196943772-196959226	Rare Disease 100K;GMS Rare Disease;GMS signed-off	903	Renal superpanel - narrow	2.242
29160	SYNE2	47	Dilated Cardiomyopathy and conduction defects	1.65	PUBLIC	red	South West GLH;Expert list	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000054654	ENSG00000054654	HGNC:17084	protein_coding	syndromic DCM	14:64319683-64693165	14:63852983-64226433	Rare Disease 100K	581	Merge for Cardiomyopathies - including childhood onset	7.62
45771	ATP13A3	193	Pulmonary arterial hypertension	2.5	PUBLIC	green	Expert Review Green;Literature;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000133657	ENSG00000133657	HGNC:24113	protein_coding	Heritable pulmonary arterial hypertension;HPAH	3:194123401-194219093	3:194402672-194498364	Rare Disease 100K;GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
59681	SMARCAL1	285	Intellectual disability	3.355	PUBLIC	red	Expert Review Red;BRIDGE study SPEED NEURO Tier1 Gene	BIALLELIC, autosomal or pseudoautosomal			ENSG00000138375	ENSG00000138375	HGNC:11102	protein_coding	Gene2Phenotype confirmed gene with ID HPO	2:217277137-217347776	2:216412414-216483053	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
25646	ITIH6	285	Intellectual disability	3.355	PUBLIC	red	Expert Review Red	Unknown			ENSG00000102313	ENSG00000102313	HGNC:28907	protein_coding		X:54775332-54824673	X:54748899-54798240	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
56290	CNNM2	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BOTH monoallelic and biallelic, autosomal or pseudoautosomal			ENSG00000148842	ENSG00000148842	HGNC:103	protein_coding	Hypomagnesaemia type 6, renal (Disorder of magnesium metabolism);Hypomagnesemia 6, renal 613882;Hypomagnesemia, seizures, and mental retardation 616418	10:104678050-104849978	10:102918293-103090221	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
37461	ARV1	285	Intellectual disability	3.355	PUBLIC	green	Victorian Clinical Genetics Services;Expert Review Green;Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000173409	ENSG00000173409	HGNC:29561	protein_coding	Epileptic encephalopathy, early infantile, 38	1:231114727-231136341	1:230978981-231000595	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
38208	DPM1	309	Skeletal dysplasia	2.2	PUBLIC	green	NHS GMS;Expert Review Green;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services;UKGTN;Expert list;Emory Genetics Laboratory	BIALLELIC, autosomal or pseudoautosomal			ENSG00000000419	ENSG00000000419	HGNC:3005	protein_coding	Congenital disorder of glycosylation, type Ie 608799	20:49551404-49575092	20:50934867-50958555	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
39231	MECP2	285	Intellectual disability	3.355	PUBLIC	green	Victorian Clinical Genetics Services;Expert Review Green;Radboud University Medical Center, Nijmegen;Emory Genetics Laboratory	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)			ENSG00000169057	ENSG00000169057	HGNC:6990	protein_coding	Rett syndrome, 312750Mental retardation, X-linked, syndromic 13, 300055Rett syndrome, preserved speech variant, 312750Encephalopathy, neonatal severe, 300673{Autism susceptibility, X-linked 3}, 300496Angelman syndrome, 105830Mental retardation, X-linked syndromic, Lubs type, 300260;RETT SYNDROME (RTT)[	X:153287024-153363212	X:154021573-154137103	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
53099	NDUFAF6	180	Structural basal ganglia disorders	1.17	PUBLIC	green	Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000156170	ENSG00000156170	HGNC:28625	protein_coding	"Leigh syndrome due to mitochondrial complex I deficiency	256000"	8:95907995-96128683	8:94895767-95116455	Rare Disease 100K	-	-	-
14267	ROGDI	402	Genetic epilepsy syndromes	2.154	PUBLIC	green	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	BIALLELIC, autosomal or pseudoautosomal			ENSG00000067836	ENSG00000067836	HGNC:29478	protein_coding	Kohlschutter-Tonz syndrome 226750	16:4846969-4852951	16:4796968-4802950	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	-	-	-
57952	TPP1	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000166340	ENSG00000166340	HGNC:2073	protein_coding	Intellectual disability;Ceroid lipofuscinosis, neuronal, 2;CLN2, Jansky-Bielschowsky disease (Ceroid lipfuscinoses, neuronal);Hereditary ataxia	11:6634000-6640692	11:6612763-6619461	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
4178	TCTEX1D2	847	Childhood onset dystonia or chorea or related movement disorder	1.51	PUBLIC	red	Expert Review Red;London North GLH				ENSG00000213123	ENSG00000213123	HGNC:28482	protein_coding		3:196018090-196045170	3:196291219-196318299	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
46313	EVC2	724	Neurological ciliopathies	1.9	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000173040	ENSG00000173040	HGNC:19747	protein_coding	Ellis-van Creveld syndrome, 225500;Weyers acrofacial dysostosis, 193530	4:5544499-5711275	4:5542772-5709548	GMS Rare Disease;Component Of Super Panel;GMS signed-off	728	Rare multisystem ciliopathy Super panel	4.56
8753	SLC19A2	293	Diabetes - neonatal onset	2.3	PUBLIC	green	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000117479	ENSG00000117479	HGNC:10938	protein_coding	Thiamine-responsive megaloblastic anemia syndrome, 249270;neonatal diabetes mellitus in thiamine-responsive megaloblastic anaemia (TRMA);permanent neonatal diabetes (PNDM);Thiamine responsive megaloblastic anaemia;neonatal diabetes	1:169433147-169455241	1:169463909-169486003	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	840	demo	2.6
31426	MT-TG	467	Inborn errors of metabolism	2.22	PUBLIC	green	Expert Review Green	MITOCHONDRIAL			ENSG00000210164	ENSG00000210164	HGNC:7486	Mt_tRNA		MT:9991-10058	MT:9991-10058	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	582	Merge for Molecular autopsy	6.34
9974	DOLK	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000175283	ENSG00000175283	HGNC:23406	protein_coding	Congenital disorder of glycosylation, type Im 610768;Dolichol kinase deficiency (Disorders of multiple glycosylation and other glycosylation pathways)	9:131707809-131709898	9:128945530-128947619	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	489	Epilepsy - early onset or syndromic	4.182
30528	WDR45	302	Undiagnosed metabolic disorders	1.422	PUBLIC	green	Expert Review Green;Literature	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)			ENSG00000196998	ENSG00000196998	HGNC:28912	protein_coding	"Neurodegeneration with brain iron accumulation 5	300894"	X:48929385-48958108	X:49071470-49101170	Rare Disease 100K	584	Merge for inborn errors of metabolism	3.31
22971	UQCRC2	467	Inborn errors of metabolism	2.22	PUBLIC	amber	Expert Review Amber	Unknown			ENSG00000140740	ENSG00000140740	HGNC:12586	protein_coding	Mitochondrial complex III deficiency, nuclear type 5, 615160;Isolated complex III deficiency	16:21963981-21994981	16:21952660-21983660	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
16972	TUBA8	477	Ataxia and cerebellar anomalies - narrow panel	2.13	PUBLIC	amber	Expert Review Amber	BIALLELIC, autosomal or pseudoautosomal			ENSG00000183785	ENSG00000183785	HGNC:12410	protein_coding	Polymicrogyria with optic nerve hypoplasia,  613180	22:18593097-18629321	22:18110331-18146554	GMS Rare Disease;Component Of Super Panel;GMS signed-off	488	Hereditary ataxia and cerebellar anomalies - childhood onset	6.39
33724	GIF	156	Unexplained kidney failure in young people	1.91	PUBLIC	red	Imerslund-Grasbeck syndrome eligibility statement prior genetic testing			new-gene-name	ENSG00000134812	ENSG00000134812	HGNC:4268	protein_coding	GIF mutations may phenocopy this disorder; (originally on the Imerslund-Grasbeck syndrome gene panel)	11:59596741-59612974	11:59829268-59845501	Rare Disease 100K	590	Merge for Renal and urinary tract disorders	1.152
58814	A2ML1	285	Intellectual disability	3.355	PUBLIC	red	Expert Review Red;Literature	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments		ENSG00000166535	ENSG00000166535	HGNC:23336	protein_coding		12:8975068-9039597	12:8822472-8887001	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
52408	USP9X	309	Skeletal dysplasia	2.2	PUBLIC	red					ENSG00000124486	ENSG00000124486	HGNC:12632	protein_coding	New syndrom with skd	X:40944888-41095832	X:41085635-41236579	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
55015	C1GALT1C1	302	Undiagnosed metabolic disorders	1.422	PUBLIC	red	Expert Review Red;Literature	Other - please specifiy in evaluation comments			ENSG00000171155	ENSG00000171155	HGNC:24338	protein_coding	"Tn polyagglutination syndrome, somatic	300622"	X:119759648-119764005	X:120625793-120630150	Rare Disease 100K	-	-	-
24830	BMPER	285	Intellectual disability	3.355	PUBLIC	amber	BRIDGE study SPEED NEURO Tier1 Gene;Expert Review Amber	BIALLELIC, autosomal or pseudoautosomal			ENSG00000164619	ENSG00000164619	HGNC:24154	protein_coding	Gene2Phenotype confirmed gene with ID HPO	7:33944523-34195484	7:33904911-34155872	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
44432	FGF8	483	Pituitary hormone deficiency	2.4	PUBLIC	green	Expert Review Green;Radboud University Medical Center	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000107831	ENSG00000107831	HGNC:3686	protein_coding	Hypogonadotropic hypogonadism 6 with or without anosmia (612702)	10:103529899-103535854	10:101770130-101780369	GMS Rare Disease Virtual;GMS signed-off	-	-	-
53271	DAG1	509	Structural eye disease	1.11	PUBLIC	amber	Expert Review Amber;London North GLH;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000173402	ENSG00000173402	HGNC:2666	protein_coding	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, 613818	3:49506146-49573048	3:49468703-49535618	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
40932	VPS13B	724	Neurological ciliopathies	1.9	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000132549	ENSG00000132549	HGNC:2183	protein_coding	Cohen syndrome, 216550;COHEN SYNDROME	8:100025494-100889808	8:99013266-99877580	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
28252	NDUFAF8	112	Mitochondrial disorders	2.8	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000224877	ENSG00000224877	HGNC:33551	protein_coding	No OMIM phenotype	17:79213039-79215081	17:81239239-81241281	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	581	Merge for Cardiomyopathies - including childhood onset	7.62
22558	LIPT1	467	Inborn errors of metabolism	2.22	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000144182	ENSG00000144182	HGNC:29569	protein_coding	Lipoyltransferase 1 deficiency	2:99771418-99779620	2:99154955-99163157	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
60263	ABAT	161	Epilepsy Plus	0.16	RETIRED	red	Expert Review Red;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000183044	ENSG00000183044	HGNC:23	protein_coding	GABA-transaminase deficiency	16:8768422-8878432	16:8674565-8784575		-	-	-
42451	C3orf58	285	Intellectual disability	3.355	PUBLIC	red	Victorian Clinical Genetics Services			new-gene-name	ENSG00000181744	ENSG00000181744	HGNC:28490	protein_coding		3:143690640-143767561	3:143971798-144048719	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
21120	TRPS1	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;BRIDGE study SPEED NEURO Tier1 Gene	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000104447	ENSG00000104447	HGNC:12340	protein_coding	Trichorhinophalangeal syndrome, type I, 190350;Trichorhinophalangeal syndrome, type III, 190351	8:116420724-116821899	8:115408496-115809673	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	490	Hypotonic infant	9.454
46933	GRHPR	678	Unexplained paediatric onset end-stage renal disease	1.1	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000137106	ENSG00000137106	HGNC:4570	protein_coding	Primary Hyperoxaluria;Primary Hyperoxaluria Type 2;Hyperoxaluria, primary, type II, 260000;Hyperoxaluria	9:37422663-37436987	9:37422666-37436990	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	902	Renal superpanel - broad	2.269
15142	NDUFV1	534	Mitochondrial disorder with complex I deficiency	1.3	PUBLIC	green	NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000167792	ENSG00000167792	HGNC:7716	protein_coding	Mitochondrial complex I deficiency, nuclear type 4, 618225	11:67374323-67380006	11:67606852-67612535	GMS Rare Disease;GMS signed-off	717	GMS Mitochondrial super panel	9.4
1193	EBP	258	Arthrogryposis	3.11	PUBLIC	grey	Expert list	Other			ENSG00000147155	ENSG00000147155	HGNC:3133	protein_coding	Chondrodysplasia punctata, X-linked dominant, MIM# 302960	X:48379546-48387104	X:48521158-48528716	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	497	Arthrogryposis - broad panel	3.12
16318	DNAJC19	20	Hereditary ataxia	1.205	PUBLIC	green	Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000205981	ENSG00000205981	HGNC:30528	protein_coding	"3-methylglutaconic aciduria, type V 	610198;dilated cardiomyopathy with ataxia (DCMA) syndrome"	3:180701497-180707562	3:180983709-180989774	Rare Disease 100K	-	-	-
16309	CLN6	20	Hereditary ataxia	1.205	PUBLIC	green	Expert Review;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000128973	ENSG00000128973	HGNC:2077	protein_coding	Ceroid lipofuscinosis, neuronal, 6, 601780;Ceroid lipofuscinosis, neuronal, Kufs type, adult onset, 204300	15:68499330-68549549	15:68206992-68257211	Rare Disease 100K	-	-	-
3722	DCAF10	847	Childhood onset dystonia or chorea or related movement disorder	1.51	PUBLIC	red	PanelApp;South West GLH	BIALLELIC, autosomal or pseudoautosomal			ENSG00000122741	ENSG00000122741	HGNC:23686	protein_coding		9:37800499-37867663	9:37800502-37867666	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
46447	IFT27	725	Renal ciliopathies	1.28	PUBLIC	amber	Expert Review Amber;Expert list;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal		for-review	ENSG00000100360	ENSG00000100360	HGNC:18626	protein_coding	?Bardet-Biedl syndrome 19, 615996	22:37154246-37172300	22:36758202-36776256	GMS Rare Disease;Component Of Super Panel;GMS signed-off	728	Rare multisystem ciliopathy Super panel	4.56
29462	PKP1	136	Ectodermal dysplasia without a known gene mutation	1.19	PUBLIC	green	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal			ENSG00000081277	ENSG00000081277	HGNC:9023	protein_coding	Ectodermal dysplasia/skin fragility syndrome, 604536;Ectodermal Dysplasia/Skin Fragility Syndrome	1:201252580-201302121	1:201283452-201332993	Rare Disease 100K	591	Merge for Ectodermal dysplasia	0.5
26646	OFD1	384	Limb disorders	2.13	PUBLIC	grey	Emory Genetics Laboratory;Expert list;Expert Review Removed;London South East RGC GSTT;Radboud University Medical Center, Nijmegen;UKGTN;Viapath;Victorian Clinical Genetics Services	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)			ENSG00000046651	ENSG00000046651	HGNC:2567	protein_coding	Joubert syndrome 10 300804;Orofaciodigital syndrome I 311200 XLD;Simpson-Golabi-Behmel syndrome, type 2 300209 XLR;Polydactyly	X:13752832-13787480	X:13734745-13769353	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
32736	TWNK	20	Hereditary ataxia	1.205	PUBLIC	green	Expert Review Green;Illumina TruGenome Clinical Sequencing Services	BOTH monoallelic and biallelic, autosomal or pseudoautosomal			ENSG00000107815	ENSG00000107815	HGNC:1160	protein_coding	Spinocerebellar Ataxia, Recessive;Ataxia Neuropathy Spectrum Disorders, Dominant;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3, 609286;Perrault syndrome 5, 616138;Mitochondrial DNA depletion syndrome 7 (hepatocerebral type), 271245	10:102747124-102754158	10:100987367-100994401	Rare Disease 100K	586	Merge for Neurodegenerative disorders - adult onset	1.186
35837	ARX	474	Neurodegenerative disorders - adult onset	2.16	PUBLIC	red	Expert Review Red;NHS GMS;South West GLH;Yorkshire and North East GLH	Unknown			ENSG00000004848	ENSG00000004848	HGNC:18060	protein_coding	Dystonia	X:25021811-25034065	X:25003694-25016420	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
16943	WFS1	477	Ataxia and cerebellar anomalies - narrow panel	2.13	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000109501	ENSG00000109501	HGNC:12762	protein_coding	Wolfram syndrome 1, 222300	4:6271576-6304992	4:6269849-6303265	GMS Rare Disease;Component Of Super Panel;GMS signed-off	488	Hereditary ataxia and cerebellar anomalies - childhood onset	6.39
32008	CNDP1	467	Inborn errors of metabolism	2.22	PUBLIC	red	London North GLH;NHS GMS;Expert Review Red	Unknown			ENSG00000150656	ENSG00000150656	HGNC:20675	protein_coding	Carnosinaemia (Other disorders of peptide metabolism)	18:72201675-72254448	18:74534440-74587212	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	582	Merge for Molecular autopsy	6.34
283	ERCC5	245	Adult solid tumours cancer susceptibility	2.4	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000134899	ENSG00000134899	HGNC:3437	protein_coding	Xeroderma pigmentosum, group G, 278780	13:103497194-103528345	13:102844844-102876001	Cancer Germline 100K;GMS Cancer Germline Virtual;GMS signed-off	-	-	-
38242	EARS2	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000103356	ENSG00000103356	HGNC:29419	protein_coding	Combined oxidative phosphorylation deficiency 12, 614924;Required for mitochondrial gene expression  (Mitochondrial respiratory chain disorders (caused by nuclear variants only));Multiple respiratory chain complex deficiencies (disorders of protein synthesis)	16:23533335-23569052	16:23522014-23557731	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
17812	ARG1	567	Hereditary spastic paraplegia - adult onset	1.7	PUBLIC	green	Expert Review Green;London North GLH;NHS GMS;Yorkshire and North East GLH	BIALLELIC, autosomal or pseudoautosomal			ENSG00000118520	ENSG00000118520	HGNC:663	protein_coding	Progressive spastic tetraplegia;Argininaemia, 207800	6:131894284-131905472	6:131573144-131584332	GMS Rare Disease;GMS signed-off	-	-	-
39248	MESP2	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000188095	ENSG00000188095	HGNC:29659	protein_coding	SPONDYLOCOSTAL DYSOSTOSIS TYPE 2 608681	15:90303822-90321982	15:89760591-89778754	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
54396	APOC2	302	Undiagnosed metabolic disorders	1.422	PUBLIC	green	Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000234906	ENSG00000234906	HGNC:609	protein_coding	Familial apolipoprotein C - II deficiency (Familial chylomicronaemia, Inherited hypercholesterolaemias)  ; Hyperlipoproteinemia, type Ib 207750	19:45449243-45452822	19:44945982-44949565	Rare Disease 100K	-	-	-
58484	MED13	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;Literature;Radboud University Medical Center, Nijmegen	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000108510	ENSG00000108510	HGNC:22474	protein_coding	Delayed speech and language development;Motor delay;Intellectual disability;Autistic behavior;Attention deficit hyperactivity disorder;Abnormality of the eye;Constipation	17:60019966-60142643	17:61942605-62065282	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
43740	DDX59	726	Skeletal ciliopathies	1.3	PUBLIC	grey	Expert Review Removed;Expert list;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000118197	ENSG00000118197	HGNC:25360	protein_coding	Orofaciodigital syndrome V, 174300	1:200593024-200639097	1:200623896-200669969	Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
54490	DARS	302	Undiagnosed metabolic disorders	1.422	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal		new-gene-name	ENSG00000115866	ENSG00000115866	HGNC:2678	protein_coding	Hypomyelination with brainstem and spinal cord involvement and leg spasticity	2:136664247-136743670	2:135906677-135986100	Rare Disease 100K	-	-	-
22596	MPI	467	Inborn errors of metabolism	2.22	PUBLIC	green	Expert Review Green;London North GLH;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000178802	ENSG00000178802	HGNC:7216	protein_coding	Phosphomannose isomerase deficiency (Disorders of protein N-glycosylation);Congenital disorder of glycosylation, type Ib 602579	15:75182346-75191798	15:74890005-74902219	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
51214	SLC52A2	921	Severe Paediatric Disorders	1.11	PUBLIC	green	Expert list;Expert Review Green;Next Generation Children Project	BIALLELIC, autosomal or pseudoautosomal			ENSG00000185803	ENSG00000185803	HGNC:30224	protein_coding	Brown-Vialetto-Van Laere syndrome 2, 614707	8:145577795-145584932	8:144354135-144361272	Research	-	-	-
